Feature,Feature Group,Group description,Why selected,Group reason
Flow Duration,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Duration of the flow; floods maintain long flows.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Total Fwd Packets,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Volume of packets sent.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Total Backward Packets,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Volume of packets received.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Total Length of Fwd Packets,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Volume of bytes sent.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Total Length of Bwd Packets,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Volume of bytes received.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Flow Bytes/s,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Throughput; DDoS generates extreme values.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Flow Packets/s,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Packet rate; flood tools saturate this.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Fwd Header Length,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Forward header overhead per flow.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Bwd Header Length,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Backward header overhead per flow.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Fwd Packets/s,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Forward packet rate.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Bwd Packets/s,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Backward packet rate.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Subflow Fwd Packets,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Forward subflow packet volume.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Subflow Fwd Bytes,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Forward subflow byte volume.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Subflow Bwd Packets,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Backward subflow packet volume.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Subflow Bwd Bytes,A_Flow_Volume,Flow size and volume: how much traffic flows and how fast.,Backward subflow byte volume.,"Saturation attacks (DoS/DDoS) and scans flood flows with packets and bytes, so volume/rate features are their primary signature."
Fwd Packet Length Max,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Forward packet-size extremes.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Fwd Packet Length Min,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Forward packet-size extremes.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Fwd Packet Length Mean,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Forward average packet size.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Fwd Packet Length Std,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Forward size variability.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Bwd Packet Length Max,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Backward packet-size extremes.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Bwd Packet Length Min,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Backward packet-size extremes.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Bwd Packet Length Mean,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Backward average packet size.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Bwd Packet Length Std,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Backward size variability.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Min Packet Length,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Smallest observed packet.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Max Packet Length,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Largest observed packet.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Packet Length Mean,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Overall average packet size.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Packet Length Std,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Overall size variability.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Packet Length Variance,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Overall size variability.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Average Packet Size,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Mean packet size of the flow.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Avg Fwd Segment Size,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Mean forward segment size.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Avg Bwd Segment Size,B_Packet_Statistics,Packet-size statistics: shape and size of packets in both directions.,Mean backward segment size.,"Packet-size distributions differ sharply between bulk flood traffic, single-packet probes and normal browsing."
Flow IAT Mean,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Mean inter-arrival time between packets.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Flow IAT Std,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Timing variability.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Flow IAT Max,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Largest packet gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Flow IAT Min,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Smallest packet gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Fwd IAT Total,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Total forward inter-arrival time.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Fwd IAT Mean,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Forward mean packet gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Fwd IAT Std,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Forward timing variability.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Fwd IAT Max,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Forward largest gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Fwd IAT Min,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Forward smallest gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Bwd IAT Total,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Total backward inter-arrival time.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Bwd IAT Mean,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Backward mean packet gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Bwd IAT Std,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Backward timing variability.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Bwd IAT Max,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Backward largest gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Bwd IAT Min,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Backward smallest gap.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Active Mean,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Mean duration of active bursts.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Active Std,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Active-burst variability.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Active Max,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Longest active burst.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Active Min,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Shortest active burst.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Idle Mean,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Mean idle period between bursts.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Idle Std,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Idle-period variability.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Idle Max,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Longest idle period.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Idle Min,C_Timing_IAT,Timing / inter-arrival-time behaviour: rhythm and pauses of the flow.,Shortest idle period.,Attack tools send packets at machine pace and drop human interaction latency; IAT rhythm separates automated behaviour from real users.
Fwd PSH Flags,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Push-flag behaviour (PUSH priority).,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
Fwd URG Flags,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Urgent-flag behaviour.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
FIN Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Session terminations; scans send FIN probes.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
SYN Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Connection initiations; SYN floods / scans.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
RST Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Resets; dropped connections in DoS.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
PSH Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Push flags in DoS floods.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
ACK Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Acknowledgement traffic; scan backscatter.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
URG Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Urgent flags are rare in normal traffic.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
CWE Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Congestion-window-reduced flags.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
ECE Flag Count,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Explicit-congestion-notification flags.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
Down/Up Ratio,D_TCP_Flags_Connection,TCP flags and direction ratio: connection control behaviour.,Asymmetry; botnet/C2 and floods are one-directional.,"Handshake/flag patterns detect SYN floods, port-scans and half-open connection attempts; Down/Up ratio reveals asymmetrical traffic."
Destination Port,E_Endpoint_Window,Endpoint + TCP window parameters: port dialled and window sizing.,PortScan opens many disjoint destination ports.,Destination port identifies scanned services; TCP window scalings and segment sizes betray bot/C2 traffic.
Init_Win_bytes_forward,E_Endpoint_Window,Endpoint + TCP window parameters: port dialled and window sizing.,Advertised forward TCP window size.,Destination port identifies scanned services; TCP window scalings and segment sizes betray bot/C2 traffic.
Init_Win_bytes_backward,E_Endpoint_Window,Endpoint + TCP window parameters: port dialled and window sizing.,Advertised backward TCP window size.,Destination port identifies scanned services; TCP window scalings and segment sizes betray bot/C2 traffic.
act_data_pkt_fwd,E_Endpoint_Window,Endpoint + TCP window parameters: port dialled and window sizing.,Active data packets sent before push.,Destination port identifies scanned services; TCP window scalings and segment sizes betray bot/C2 traffic.
min_seg_size_forward,E_Endpoint_Window,Endpoint + TCP window parameters: port dialled and window sizing.,Minimum forward segment size.,Destination port identifies scanned services; TCP window scalings and segment sizes betray bot/C2 traffic.
Flow ID,DROPPED,,,Row identifier; presence of the row leaks the answer (and is unavailable in live traffic).
Source IP,DROPPED,,,"Host identity, not behaviour; would leak the host that was attacked."
Destination IP,DROPPED,,,"Host identity, not behaviour; would leak the target of the attack."
Timestamp,DROPPED,,,Capture timestamp; not available in live streaming detection.
Source Port,DROPPED,,,Source ephemeral port; behaviour learning is not improved.
Protocol,DROPPED,,,Protocol constant dominated by TCP in this capture; absorbed into group features.
Bwd PSH Flags,DROPPED,,,Constant column (zero variance) - no information.
Bwd URG Flags,DROPPED,,,Constant column (zero variance) - no information.
Fwd Avg Bytes/Bulk,DROPPED,,,Constant 0 column (bulk transfers not present).
Fwd Avg Packets/Bulk,DROPPED,,,Constant 0 column.
Fwd Avg Bulk Rate,DROPPED,,,Constant 0 column.
Bwd Avg Bytes/Bulk,DROPPED,,,Constant 0 column.
Bwd Avg Packets/Bulk,DROPPED,,,Constant 0 column.
Bwd Avg Bulk Rate,DROPPED,,,Constant 0 column.
Fwd Header Length,DROPPED,,,Exact duplicate of the first 'Fwd Header Length' column (100% identical values).
